station_name,boarding_count,alighting_count,total_count,boarding_share
황간,43515,42976,86491,0.0003005082556934592
전의,42610,38052,80662,0.00029425845743073184
상주,40147,37704,77851,0.0002772493379599059
신태인,39607,41020,80627,0.0002735201765655714
의성,39604,40279,79883,0.0002734994590022695
함열,38213,38472,76685,0.00026389341548464107
함평,37800,38334,76134,0.0002610412976034185
센텀,36276,35225,71501,0.0002505167754460743
감곡장호원,36237,36011,72248,0.0002502474471231502
중리,36077,30113,66190,0.00024914251041371774
함안,36077,34418,70495,0.00024914251041371774
상동,36031,34566,70597,0.0002488248411097559
하동,35602,35664,71266,0.0002458622295575901
서정리,35367,43328,78695,0.0002442393537656112
부발,35246,33855,69101,0.0002434037453791029
점촌,34570,32265,66835,0.00023873538778175076
고한,34540,33535,68075,0.00023852821214873215
성환,33739,41019,74758,0.0002329966227471359
오수,33607,34613,68220,0.00023208504996185414
민둥산,33071,36249,69320,0.0002283835119852554
사상,30302,33997,64299,0.00020926120105763988
서경주,30028,28796,58824,0.00020736899694273682
보성,28323,27661,55984,0.00019559451513284716
군북,26803,27279,54082,0.0001850976163932388
남창,26228,23917,50145,0.00018112675009371589
백양사,21138,23093,44231,0.00014597595102489578
일로,20412,18045,38457,0.000140962300705846
도고온천,19463,18819,38282,0.00013440864484802473
판교(충남),18345,19008,37353,0.00012668789959086542
지평,17639,17937,35576,0.0001218123663604947
추풍령,17563,15063,32626,0.00012128752142351428
연산,14644,13898,28542,0.00010112933233080585
예천,14143,13689,27832,9.766949925939545e-05
앙성온천,13644,13026,26670,9.422347789685297e-05
효천,13282,11088,24370,9.172355859176203e-05
광양,12851,13231,26082,8.874713533072835e-05
예미,12786,11944,24730,8.82982547925214e-05
개포,11525,10304,21829,7.958997235130684e-05
이원,11450,8926,20376,7.907203326876038e-05
반성,11060,12583,23643,7.637875003951875e-05
안강,10953,10200,21153,7.56398236150858e-05
춘양,10523,9958,20481,7.267030620848606e-05
탑리,10272,10266,20538,7.093693674556389e-05
봉화,10121,11302,21423,6.989415272603701e-05
화순,9705,9161,18866,6.702131728151261e-05
극락강,9683,10857,20540,6.686938848396564e-05
아화,9525,9695,19220,6.577826348340109e-05
벌교,9399,9590,18989,6.490812582472303e-05
옥산,9169,8323,17492,6.331977930491388e-05
문경,8449,8510,16959,5.8347564112467807e-05
동백산,8300,8208,16508,5.731859180180883e-05
진상,8273,7928,16201,5.71321337320921e-05
북천,8233,8362,16595,5.685589955473399e-05
횡천,7151,6848,13999,4.938376505719698e-05
화본,6944,6435,13379,4.795425318936874e-05
한림정,6481,7523,14004,4.475684258644855e-05
청소,6290,6507,12797,4.3437824389563556e-05
심천,6250,6773,13023,4.3161590212205446e-05
일신,6127,5975,12102,4.231217011682924e-05
서광주,6030,6397,12427,4.1642302236735814e-05
석포,5437,5766,11203,3.754713055740176e-05
함창,5167,4507,9674,3.568254986023448e-05
봉양,5115,4708,9823,3.532344542966893e-05
서화성,4899,5549,10448,3.3831780871935115e-05
매곡,4816,5020,9836,3.3258594953917023e-05
임성리,4635,4210,8845,3.200863530137156e-05
완사,4535,4774,9309,3.131804985797627e-05
예당,4515,3675,8190,3.1179932769297214e-05
득량,4507,4275,8782,3.112468593382559e-05
안중,4501,4306,8807,3.1083250807221875e-05
조성,4391,3395,7786,3.0323606819487055e-05
향남,4349,3732,8081,3.0033560933261034e-05
몽탄,4072,4391,8463,2.812063925505609e-05
진례,3981,4861,8842,2.749220650156638e-05
신동,3970,4721,8691,2.7416242102792898e-05
용궁,3746,3972,7718,2.5869330709587454e-05
대야,3608,3598,7206,2.491632279770196e-05
무안,3378,4293,7671,2.33279762778928e-05
청리,3266,2864,6130,2.2554520581290076e-05
합덕,3246,3139,6385,2.241640349261102e-05
삼탄,3195,3308,6503,2.2064204916479422e-05
북영천,3030,3246,6276,2.09247389348772e-05
