date,name,is_holiday,date_kind,year,month,yearmonth
2011-12-25,기독탄신일,True,01,2011,12,2011-12-01
2012-01-01,신정,True,01,2012,1,2012-01-01
2012-01-22,설날,True,01,2012,1,2012-01-01
2012-01-23,설날,True,01,2012,1,2012-01-01
2012-01-24,설날,True,01,2012,1,2012-01-01
2012-03-01,삼일절,True,01,2012,3,2012-03-01
2012-04-11,국회의원선거일,True,01,2012,4,2012-04-01
2012-05-05,어린이날,True,01,2012,5,2012-05-01
2012-05-28,석가탄신일,True,01,2012,5,2012-05-01
2012-06-06,현충일,True,01,2012,6,2012-06-01
2012-08-15,광복절,True,01,2012,8,2012-08-01
2012-09-29,추석,True,01,2012,9,2012-09-01
2012-09-30,추석,True,01,2012,9,2012-09-01
2012-10-01,추석,True,01,2012,10,2012-10-01
2012-10-03,개천절,True,01,2012,10,2012-10-01
2012-12-19,대통령선거일,True,01,2012,12,2012-12-01
2012-12-25,기독탄신일,True,01,2012,12,2012-12-01
2013-01-01,신정,True,01,2013,1,2013-01-01
2013-02-09,설날,True,01,2013,2,2013-02-01
2013-02-10,설날,True,01,2013,2,2013-02-01
2013-02-11,설날,True,01,2013,2,2013-02-01
2013-03-01,삼일절,True,01,2013,3,2013-03-01
2013-05-05,어린이 날,True,01,2013,5,2013-05-01
2013-05-17,석가탄신일,True,01,2013,5,2013-05-01
2013-06-06,현충일,True,01,2013,6,2013-06-01
2013-08-15,광복절,True,01,2013,8,2013-08-01
2013-09-18,추석,True,01,2013,9,2013-09-01
2013-09-19,추석,True,01,2013,9,2013-09-01
2013-09-20,추석,True,01,2013,9,2013-09-01
2013-10-03,개천절,True,01,2013,10,2013-10-01
2013-10-09,한글날,True,01,2013,10,2013-10-01
2013-12-25,기독탄신일,True,01,2013,12,2013-12-01
2014-01-01,신정,True,01,2014,1,2014-01-01
2014-01-30,설날,True,01,2014,1,2014-01-01
2014-01-31,설날,True,01,2014,1,2014-01-01
2014-02-01,설날,True,01,2014,2,2014-02-01
2014-03-01,삼일절,True,01,2014,3,2014-03-01
2014-05-05,어린이날,True,01,2014,5,2014-05-01
2014-05-06,석가탄신일,True,01,2014,5,2014-05-01
2014-06-04,동시지방선거일,True,01,2014,6,2014-06-01
2014-06-06,현충일,True,01,2014,6,2014-06-01
2014-08-15,광복절,True,01,2014,8,2014-08-01
2014-09-07,추석,True,01,2014,9,2014-09-01
2014-09-08,추석,True,01,2014,9,2014-09-01
2014-09-09,추석,True,01,2014,9,2014-09-01
2014-09-10,대체공휴일,True,01,2014,9,2014-09-01
2014-10-03,개천절,True,01,2014,10,2014-10-01
2014-10-09,한글날,True,01,2014,10,2014-10-01
2014-12-25,기독탄신일,True,01,2014,12,2014-12-01
2015-01-01,신정,True,01,2015,1,2015-01-01
2015-02-18,설날,True,01,2015,2,2015-02-01
2015-02-19,설날,True,01,2015,2,2015-02-01
2015-02-20,설날,True,01,2015,2,2015-02-01
2015-03-01,삼일절,True,01,2015,3,2015-03-01
2015-05-05,어린이날,True,01,2015,5,2015-05-01
2015-05-25,석가탄신일,True,01,2015,5,2015-05-01
2015-06-06,현충일,True,01,2015,6,2015-06-01
2015-08-15,광복절,True,01,2015,8,2015-08-01
2015-09-26,추석,True,01,2015,9,2015-09-01
2015-09-27,추석,True,01,2015,9,2015-09-01
2015-09-28,추석,True,01,2015,9,2015-09-01
2015-09-29,대체공휴일,True,01,2015,9,2015-09-01
2015-10-03,개천절,True,01,2015,10,2015-10-01
2015-10-09,한글날,True,01,2015,10,2015-10-01
2015-12-25,기독탄신일,True,01,2015,12,2015-12-01
2016-01-01,신정,True,01,2016,1,2016-01-01
2016-02-07,설날,True,01,2016,2,2016-02-01
2016-02-08,설날,True,01,2016,2,2016-02-01
2016-02-09,설날,True,01,2016,2,2016-02-01
2016-02-10,대체공휴일,True,01,2016,2,2016-02-01
2016-03-01,삼일절,True,01,2016,3,2016-03-01
2016-04-13,국회의원선거일,True,01,2016,4,2016-04-01
2016-05-05,어린이날,True,01,2016,5,2016-05-01
2016-05-06,임시공휴일,True,01,2016,5,2016-05-01
2016-05-14,석가탄신일,True,01,2016,5,2016-05-01
2016-06-06,현충일,True,01,2016,6,2016-06-01
2016-08-15,광복절,True,01,2016,8,2016-08-01
2016-09-14,추석,True,01,2016,9,2016-09-01
2016-09-15,추석,True,01,2016,9,2016-09-01
2016-09-16,추석,True,01,2016,9,2016-09-01
2016-10-03,개천절,True,01,2016,10,2016-10-01
2016-10-09,한글날,True,01,2016,10,2016-10-01
2016-12-25,기독탄신일,True,01,2016,12,2016-12-01
2017-01-01,신정,True,01,2017,1,2017-01-01
2017-01-27,설날,True,01,2017,1,2017-01-01
2017-01-28,설날,True,01,2017,1,2017-01-01
2017-01-29,설날,True,01,2017,1,2017-01-01
2017-01-30,대체공휴일,True,01,2017,1,2017-01-01
2017-03-01,삼일절,True,01,2017,3,2017-03-01
2017-05-03,석가탄신일,True,01,2017,5,2017-05-01
2017-05-05,어린이날,True,01,2017,5,2017-05-01
2017-05-09,대통령선거일,True,01,2017,5,2017-05-01
2017-06-06,현충일,True,01,2017,6,2017-06-01
