노선,target,rows,train_rows,test_rows,mae_pp,rmse_pp,mean_error_pp
경부선,공실률,237.0,225.0,12.0,26.46892630222521,26.616420624495067,-26.46892630222521
경전선,공실률,157.0,145.0,12.0,28.507807199259208,28.70268337711495,-28.507807199259208
동해선,공실률,105.0,93.0,12.0,37.42078686004968,38.85865735671757,-37.42078686004968
전라선,공실률,147.0,135.0,12.0,19.579408757684895,19.90357729292379,-19.579408757684895
호남선,공실률,237.0,225.0,12.0,17.384522870137502,17.620983827139902,-17.384522870137502
