source_date,station_name,unit,boarding_count,alighting_count,total_count
2024-12-31,보성,명,28323,27661,55984
2024-12-31,군북,명,26803,27279,54082
2024-12-31,남창,명,26228,23917,50145
2024-12-31,백양사,명,21138,23093,44231
2024-12-31,일로,명,20412,18045,38457
2024-12-31,도고온천,명,19463,18819,38282
2024-12-31,판교(충남),명,18345,19008,37353
2024-12-31,지평,명,17639,17937,35576
2024-12-31,추풍령,명,17563,15063,32626
2024-12-31,연산,명,14644,13898,28542
2024-12-31,예천,명,14143,13689,27832
2024-12-31,앙성온천,명,13644,13026,26670
2024-12-31,효천,명,13282,11088,24370
2024-12-31,광양,명,12851,13231,26082
2024-12-31,예미,명,12786,11944,24730
2024-12-31,개포,명,11525,10304,21829
2024-12-31,이원,명,11450,8926,20376
2024-12-31,반성,명,11060,12583,23643
2024-12-31,안강,명,10953,10200,21153
2024-12-31,춘양,명,10523,9958,20481
2024-12-31,탑리,명,10272,10266,20538
2024-12-31,봉화,명,10121,11302,21423
2024-12-31,화순,명,9705,9161,18866
2024-12-31,극락강,명,9683,10857,20540
2024-12-31,아화,명,9525,9695,19220
2024-12-31,벌교,명,9399,9590,18989
2024-12-31,옥산,명,9169,8323,17492
2024-12-31,문경,명,8449,8510,16959
2024-12-31,동백산,명,8300,8208,16508
2024-12-31,진상,명,8273,7928,16201
2024-12-31,북천,명,8233,8362,16595
2024-12-31,횡천,명,7151,6848,13999
2024-12-31,화본,명,6944,6435,13379
2024-12-31,한림정,명,6481,7523,14004
2024-12-31,청소,명,6290,6507,12797
2024-12-31,심천,명,6250,6773,13023
2024-12-31,일신,명,6127,5975,12102
2024-12-31,서광주,명,6030,6397,12427
2024-12-31,석포,명,5437,5766,11203
2024-12-31,함창,명,5167,4507,9674
2024-12-31,봉양,명,5115,4708,9823
2024-12-31,서화성,명,4899,5549,10448
2024-12-31,매곡,명,4816,5020,9836
2024-12-31,임성리,명,4635,4210,8845
2024-12-31,완사,명,4535,4774,9309
2024-12-31,예당,명,4515,3675,8190
2024-12-31,득량,명,4507,4275,8782
2024-12-31,안중,명,4501,4306,8807
2024-12-31,조성,명,4391,3395,7786
2024-12-31,향남,명,4349,3732,8081
2024-12-31,몽탄,명,4072,4391,8463
