노선,ds,yhat,yhat_lower,yhat_upper,target
경부선,2005-04-01,19.259801347582663,0.6125142165935249,40.40481582640703,공실률
경부선,2005-05-01,14.731857768120635,-4.511285814469411,33.39391556735261,공실률
경부선,2005-06-01,19.37192679970149,0.9843989951991873,39.05380478273772,공실률
경부선,2005-07-01,20.287447555226493,1.4376339531224416,38.46620382471419,공실률
경부선,2005-08-01,16.770711038335953,-2.1243173994165048,35.47992734844449,공실률
경부선,2005-09-01,19.511660195259243,0.2721654545690902,38.62917798868407,공실률
경부선,2005-10-01,12.185021581586486,-7.4012070540118575,31.71040443133881,공실률
경부선,2005-11-01,9.789428091375994,-8.904784354475956,28.655534366864043,공실률
경부선,2005-12-01,13.55286437606409,-4.646989888766172,33.171192496944656,공실률
경부선,2006-01-01,19.212060989764783,-0.5700480470573515,37.413652799271254,공실률
경부선,2006-02-01,16.972542210328253,-1.787731956182725,36.259430792812296,공실률
경부선,2006-03-01,24.806171901573126,5.800221403565348,43.03360964193749,공실률
경부선,2006-04-01,17.879705907095346,-1.794874242117398,37.793050563493395,공실률
경부선,2006-05-01,13.451887281374148,-4.783905170200218,33.79299416236279,공실률
경부선,2006-06-01,18.28515610221268,0.464596174080972,38.9616135324584,공실률
경부선,2006-07-01,19.09197146930872,1.4614008494068695,38.89640581529774,공실률
경부선,2006-08-01,15.438931997463325,-4.3450992542144125,34.699827572501256,공실률
경부선,2006-09-01,18.20481166976149,0.7985016473075279,37.72125079837978,공실률
경부선,2006-10-01,10.919978126690472,-7.7381557032353445,29.272428147867856,공실률
경부선,2006-11-01,8.623941502621204,-9.264526071725166,27.935957761806335,공실률
경부선,2006-12-01,12.279738300455291,-7.097495292643395,30.76158239883703,공실률
경부선,2007-01-01,17.86305283768357,-0.7779007424118273,36.603744517487,공실률
경부선,2007-02-01,15.806893736334413,-2.7489627905290543,35.21475533255321,공실률
경부선,2007-03-01,23.520911063226574,4.043948673111749,40.43596803455169,공실률
경부선,2007-04-01,16.500352223725088,-2.385636818961461,35.014109171498724,공실률
경부선,2007-05-01,12.17864704290475,-6.198318367762019,30.95604450875223,공실률
경부선,2007-06-01,17.199336018121365,-2.0750706334143465,35.84028966402844,공실률
경부선,2007-07-01,17.89174293993046,-1.3667561248468905,36.55137073075929,공실률
경부선,2007-08-01,14.105372695749901,-3.22811318335471,33.22225750791002,공실률
경부선,2007-09-01,16.896554685779932,-3.1997634427512374,37.469303433340244,공실률
경부선,2007-10-01,9.658497510625267,-9.167426591175815,29.952475303073815,공실률
경부선,2007-11-01,7.4606607094891775,-9.611528178674302,27.121757930500024,공실률
경부선,2007-12-01,11.005229212563414,-7.796092911986701,29.1424010731994,공실률
경부선,2008-01-01,16.513631600545224,-1.6033712181927184,37.458449153354756,공실률
경부선,2008-02-01,14.643337274548614,-3.807514125028265,34.092669606568315,공실률
