railway_name,operator_name,line_name,station_order,station_name,address
KTX,한국철도공사,중앙선,2,청량리,서울시 동대문구 왕산로-214
KTX,한국철도공사,중앙선,3,양평,경기도 양평군 양평읍 역전길 30
KTX,한국철도공사,중앙선,4,서원주,강원도 원주시 지정면 지정로 145
KTX,한국철도공사,중앙선,5,원주,강원도 원주시 북원로 1860
KTX,한국철도공사,중앙선,6,제천,충북 제천시 의림대로1
KTX,한국철도공사,중앙선,7,단양,충북 단양군 단양읍 단양로 896
KTX,한국철도공사,중앙선,8,풍기,경북 영주시 풍기읍 인삼로 1
KTX,한국철도공사,중앙선,9,영주,경북 영주시 선비로 64
KTX,한국철도공사,중앙선,10,안동,경북 안동시 송현동 648
KTX,한국철도공사,호남선,1,행신,경기도 고양시 덕양구 소원로 102
KTX,한국철도공사,호남선,2,서울,서울특별시 용산구 한강대로 405
KTX,한국철도공사,호남선,3,용산,서울특별시 용산구 한강대로 23길 55
KTX,한국철도공사,호남선,4,광명,경기도 광명시 광명역로 21
KTX,한국철도공사,호남선,5,천안아산,충남 아산시 배방읍 희망로 100
KTX,한국철도공사,호남선,6,오송,충북 청주시 흥덕구 오송읍 오송가락로 123
KTX,한국철도공사,호남선,7,공주,충남 공주시 이인면 새빛로 100
KTX,한국철도공사,호남선,8,서대전,대전 중구 오류로 23
KTX,한국철도공사,호남선,9,계룡,충남 계룡시 두마면 팥거리로 95
KTX,한국철도공사,호남선,10,논산,충남 논산시 해월로 236-13
KTX,한국철도공사,호남선,11,익산,전북 익산시 익산대로 153
KTX,한국철도공사,호남선,12,김제,전북 김제시 두월로 198
KTX,한국철도공사,호남선,13,정읍,전북 정읍시 서부산업도로 305
KTX,한국철도공사,호남선,14,장성,전남 장성군 장성읍 영천리 1273-5
KTX,한국철도공사,호남선,15,광주송정,광주 광산구 상무대로 201
KTX,한국철도공사,호남선,16,나주,전남 나주시 송월동 262-2
KTX,한국철도공사,호남선,17,목포,전남 목포시 호남동 1-1
